"selec","channel","start","end","sound.files","File.Offset..s.","bottom.freq","top.freq","selec.file","element_labels","old.selec","SNR","channel","check.res","duration","min.n.samples","sample.rate","channels","bits","sound.file.samples","song.lab","element","Species","Species_uscr","Clade","selection_type","Check.status","additional_info","song"
1,1,0.627,0.794943731,"Antrostomus-arizonae-212648.wav","",0.0959,2.1091,"Antrostomus-arizonae-212648.Table.1.selections.txt","1b",1,12.1637314430142,1,"OK",0.167943731,7406,44.1,1,16,270720,1,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-1"
2,1,0.906,1.184763743,"Antrostomus-arizonae-212648.wav","",0.1678,3.4753,"Antrostomus-arizonae-212648.Table.1.selections.txt","1c",2,14.8829060371422,1,"OK",0.278763743,12293,44.1,1,16,270720,1,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-1"
3,1,1.81,1.853414026,"Antrostomus-arizonae-212648.wav","",0,1.438,"Antrostomus-arizonae-212648.Table.1.selections.txt","2a",3,10.3707538344412,1,"OK",0.043414026,1914,44.1,1,16,270720,2,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-2"
4,1,1.951,2.115516307,"Antrostomus-arizonae-212648.wav","",0.2157,1.9174,"Antrostomus-arizonae-212648.Table.1.selections.txt","2b",4,19.6101545132872,1,"OK",0.164516307,7255,44.1,1,16,270720,2,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-2"
5,1,2.221,2.490623949,"Antrostomus-arizonae-212648.wav","",0.0959,3.1637,"Antrostomus-arizonae-212648.Table.1.selections.txt","2c",5,13.807484784287,1,"OK",0.269623949,11890,44.1,1,16,270720,2,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-2"
6,1,3.286,3.329414025,"Antrostomus-arizonae-212648.wav","",0,1.5339,"Antrostomus-arizonae-212648.Table.1.selections.txt","3a",6,12.1099303077145,1,"OK",0.0434140250000001,1914,44.1,1,16,270720,3,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-3"
7,1,3.408,3.574801256,"Antrostomus-arizonae-212648.wav","",0.0959,2.1091,"Antrostomus-arizonae-212648.Table.1.selections.txt","3b",7,19.4595868341844,1,"OK",0.166801256,7355,44.1,1,16,270720,3,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-3"
8,1,3.67,3.959046012,"Antrostomus-arizonae-212648.wav","",0.1198,3.1397,"Antrostomus-arizonae-212648.Table.1.selections.txt","3c",8,12.7294456059618,1,"OK",0.289046012,12746,44.1,1,16,270720,3,"c","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-212648.wav-3"
10,1,3.893,4.032381871,"Antrostomus-arizonae-21760.wav","",0.5992,1.9653,"Antrostomus-arizonae-21760.Table.1.selections.txt","1a",2,5.46181486891176,1,"OK",0.139381871000001,6146,44.1,1,16,1018368,1,"a","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-1"
11,1,4.198,4.527032615,"Antrostomus-arizonae-21760.wav","",0.5992,2.9959,"Antrostomus-arizonae-21760.Table.1.selections.txt","1b",3,8.67912087476156,1,"OK",0.329032614999999,14510,44.1,1,16,1018368,1,"b","Antrostomus arizonae","Antrostomus_arizonae","Nightjars","","OK","Analyzed by Fabian Mora in 2019, tailored by MAS in 2020","Antrostomus-arizonae-21760.wav-1"
